Confucius | Never give a sword to a man who can't dance.
Confucius | Imagination is more important than knowledge.
Confucius | The man who says he CAN and the man who says he CANNOT are both correct.
Confucius | The who asks a question is a fool for a minute. The man who doen't ask is a fool for life.
Oscar Wilde | be yourself; everyone else is already taken.
Oscar Wilde | The truth is rarely pure and never simple.
Sun Tzu | Appear weak when you are strong and strong when you are weak.
Sun Tzu | The supreme art of war is to subdue the enemy without fighting.
Sun Tzu | The graetest victory is that which requires no battle.
Winston Churchill | Success consists of going from failure to failure without loss of enthusiasm.
Winston Churchill | Success is not final. Failure is not fatal. It is the courage to continue that counts.
